year,Population,council,waste_pp,garbage_pp,recycle_pp,organic_pp,collect_type,amount,diversion_rate
2002,47000,Cardinia Shire Council,0.271042553,0.182978723,0.086808511,0.001255319,total_glass_collect,448.8,0.324907764
2002,193347,Casey City Council,0.311503618,0.199294533,0.075698097,0.036510988,total_garbage_collect,38533,0.360217599
2002,193347,Casey City Council,0.311503618,0.199294533,0.075698097,0.036510988,total_recycle_actual,13426,0.360217599
2002,193347,Casey City Council,0.311503618,0.199294533,0.075698097,0.036510988,organic_collect,7059.29,0.360217599
2002,193347,Casey City Council,0.311503618,0.199294533,0.075698097,0.036510988,aluminium_collect,520,0.360217599
2002,193347,Casey City Council,0.311503618,0.199294533,0.075698097,0.036510988,steel_collect,996,0.360217599
2002,193347,Casey City Council,0.311503618,0.199294533,0.075698097,0.036510988,paper_collect,5622,0.360217599
2002,193347,Casey City Council,0.311503618,0.199294533,0.075698097,0.036510988,plastic_collect,1212,0.360217599
2002,193347,Casey City Council,0.311503618,0.199294533,0.075698097,0.036510988,total_glass_collect,5076,0.360217599
2002,12701,Central Goldfields Shire Council,0.240138572,0.194472876,0.045665696,0,total_garbage_collect,2470,0.190163934
2002,12701,Central Goldfields Shire Council,0.240138572,0.194472876,0.045665696,0,total_recycle_actual,582,0.190163934
2002,12701,Central Goldfields Shire Council,0.240138572,0.194472876,0.045665696,0,organic_collect,0,0.190163934
2002,12701,Central Goldfields Shire Council,0.240138572,0.194472876,0.045665696,0,aluminium_collect,8,0.190163934
2002,12701,Central Goldfields Shire Council,0.240138572,0.194472876,0.045665696,0,steel_collect,24,0.190163934
2002,12701,Central Goldfields Shire Council,0.240138572,0.194472876,0.045665696,0,paper_collect,383,0.190163934
2002,12701,Central Goldfields Shire Council,0.240138572,0.194472876,0.045665696,0,plastic_collect,41,0.190163934
2002,12701,Central Goldfields Shire Council,0.240138572,0.194472876,0.045665696,0,total_glass_collect,126,0.190163934
2002,20207,Colac Otway Shire Council,0.23484931,0.138565844,0.050259811,0.046023655,total_garbage_collect,2800,0.409979771
2002,20207,Colac Otway Shire Council,0.23484931,0.138565844,0.050259811,0.046023655,total_recycle_actual,218.6,0.409979771
2002,20207,Colac Otway Shire Council,0.23484931,0.138565844,0.050259811,0.046023655,organic_collect,930,0.409979771
2002,20207,Colac Otway Shire Council,0.23484931,0.138565844,0.050259811,0.046023655,aluminium_collect,0,0.409979771
2002,20207,Colac Otway Shire Council,0.23484931,0.138565844,0.050259811,0.046023655,steel_collect,0,0.409979771
2002,20207,Colac Otway Shire Council,0.23484931,0.138565844,0.050259811,0.046023655,paper_collect,218.6,0.409979771
