street_name,council_name,green_frequency,green_next,landfill_frequency,landfill_next,recycle_frequency,recycle_next
Chapelton Road,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Lanthorn Crescent,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Easter Way,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Eliburn Drive,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bent Lane,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Almondbank Road,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Mercury Road,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Redding Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Hendrix Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Hamer Way,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Elmslie Drive,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Joplin Close,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Colachise Place,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Vollone Place,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Mcfarlan Way,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Bellsquarry Avenue,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Pettigrew Street,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Riatta Grove,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Ryebank Way,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Hutton Way,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Haines Street,Cranbourne East,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Portrait Place,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Stonebank Grove,Cranbourne,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Rooney Road,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
Kavanagh Lane,Clyde North,fortnightly,13/10/2023,weekly,13/10/2023,fortnightly,20/10/2023
