recycle_centre,waste_type,longtitude,latitude
Bunnings Hoppers Crossing,battery,144.7143702,-37.86556343
Bunnings Keysborough,battery,145.1469542,-37.98971406
Bunnings Leopold,battery,144.4522914,-38.18436971
Bunnings Lilydale,battery,145.3476567,-37.7574026
Bunnings Maribyrnong,battery,144.8836028,-37.77610463
Bunnings Melton East,battery,144.6069426,-37.69049627
Bunnings Mentone,battery,145.0695686,-37.97664563
Bunnings Mildura,battery,142.1511781,-34.21734499
Bunnings Mornington ,battery,145.0595136,-38.21969319
Bunnings Morwell,battery,146.4234906,-38.20805311
Bunnings Northland,battery,145.0324928,-37.74192941
Bunnings Nunawading,battery,145.1490908,-37.71243455
Bunnings Pakenham,battery,145.4576204,-38.06009273
Bunnings Port Melbourne,battery,144.9389553,-37.83095442
Bunnings Preston,battery,145.0295671,-37.74292275
Bunnings Ringwood,battery,145.2228417,-37.81533921
Bunnings Rosebud,battery,144.8873778,-38.38577359
Bunnings Sale,battery,147.0655807,-38.06140132
Bunnings Scoresby,battery,145.2422771,-37.89621488
Bunnings Seymour,battery,145.1451056,-36.98759937
Bunnings Shepparton,battery,145.4218269,-36.38754145
Bunnings Springvale,battery,145.1218699,-37.86300287
Bunnings Sunbury,battery,144.7161023,-37.59026844
Bunnings Sunshine,battery,144.8133926,-37.7330168
Bunnings Swan Hill,battery,144.7283001,-37.5213884
Bunnings Tarneit,battery,144.6977742,-37.83333121
Bunnings Taylors Lakes,battery,144.7797384,-37.69560991
Bunnings Thomastown,battery,145.0227939,-37.69300509
Bunnings Torquay,battery,144.3086944,-38.28133792
Bunnings Traralgon,battery,146.5627018,-38.16929755
Bunnings Vermont South,battery,145.1970828,-37.85995002
Bunnings Wangaratta,battery,145.1977041,-37.85809621
Bunnings Warragul,battery,145.9544538,-38.159827
Bunnings Warrnambool,battery,142.5370553,-38.34250767
Bunnings Waurn Ponds,battery,144.3065818,-38.20344218
Bunnings Werribee,battery,144.6645319,-37.89854742
Bunnings West Footscray,battery,144.8803187,-37.77735296
Bunnings Wonthaggi,battery,145.5925174,-38.59513184
Bunnings Yarrawonga,battery,146.0555661,-35.92967638
